medical,7,0,0.02959
meeting,7,0,0.02795
mention,7,0,0.0284
message,7,0,0.02921
million,7,0,0.02899
mission,7,0,0.02778
morning,7,0,0.0282
natural,7,1,0.02884
network,7,0,0.02763
nothing,7,0,0.02812
officer,7,1,0.02769
outside,7,0,0.02903
partner,7,0,0.02809
patient,7,1,0.02743
pattern,7,0,0.02869
perform,7,0,0.02753
perhaps,7,0,0.02824
picture,7,0,0.0276
popular,7,0,0.03181
prepare,7,0,0.02894
present,7,4,0.02751
prevent,7,1,0.02881
private,7,0,0.02762
problem,7,0,0.02812
process,7,0,0.02828
produce,7,0,0.02926
product,7,0,0.02788
program,7,0,0.02786
project,7,0,0.02881
protect,7,3,0.02737
provide,7,2,0.02842
purpose,7,2,0.0276
quality,7,0,0.02902
quickly,7,0,0.02755
reality,7,0,0.02789
realize,7,0,0.02766
receive,7,0,0.02891
reflect,7,0,0.02865
require,7,1,0.0291
respond,7,1,0.02878
science,7,0,0.02732
section,7,0,0.02812
serious,7,0,0.02762
service,7,0,0.02896
several,7,0,0.02838
similar,7,0,0.02818
society,7,0,0.02928
soldier,7,0,0.02754
someone,7,0,0.02862
special,7,0,0.02762
station,7,1,0.02867
student,7,0,0.02824
subject,7,1,0.0275
success,7,0,0.02866
suggest,7,0,0.02744
support,7,1,0.02783
surface,7,0,0.02754
teacher,7,0,0.02879
thought,7,0,0.02778
through,7,0,0.02791
tonight,7,0,0.02737
trouble,7,0,0.02879
usually,7,0,0.02812
various,7,0,0.02791
western,7,0,0.02855
whether,7,0,0.02783
without,7,3,0.02879
activity,8,0,0.03144
actually,8,0,0.03247
although,8,0,0.03198
american,8,0,0.03107
analysis,8,0,0.03232
anything,8,0,0.03161
approach,8,0,0.03187
attorney,8,0,0.03227
audience,8,0,0.0313
behavior,8,0,0.03132
building,8,0,0.0321
business,8,0,0.03161
campaign,8,0,0.032
computer,8,0,0.03247
congress,8,1,0.03144
consider,8,0,0.03151
consumer,8,0,0.03234
continue,8,0,0.03137
cultural,8,0,0.03254
customer,8,0,0.032
daughter,8,0,0.03244
decision,8,0,0.03144
