Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1083     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::operator++()
  0.00      0.00     0.00     1083     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::operator*() const
  0.00      0.00     0.00     1074     0.00     0.00  void std::_Destroy<ActorInfo>(ActorInfo*)
  0.00      0.00     0.00     1024     0.00     0.00  void std::_Construct<ActorInfo, ActorInfo const&>(ActorInfo*, ActorInfo const&)
  0.00      0.00     0.00     1023     0.00     0.00  Drawable::Drawable()
  0.00      0.00     0.00     1020     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.00     0.00      943     0.00     0.00  std::remove_reference<std::unique_ptr<Drawable, std::default_delete<Drawable> >&>::type&& std::move<std::unique_ptr<Drawable, std::default_delete<Drawable> >&>(std::unique_ptr<Drawable, std::default_delete<Drawable> >&)
  0.00      0.00     0.00      936     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >* std::__addressof<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >&)
  0.00      0.00     0.00      920     0.00     0.00  std::_Head_base<1ul, std::default_delete<Drawable>, true>::_Head_base<std::default_delete<Drawable> >(std::default_delete<Drawable>&&)
  0.00      0.00     0.00      920     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::release()
  0.00      0.00     0.00      920     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::unique_ptr(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00      920     0.00     0.00  std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >::_Tuple_impl<Drawable*&, std::default_delete<Drawable>, void>(Drawable*&, std::default_delete<Drawable>&&)
  0.00      0.00     0.00      920     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Drawable> >::_Tuple_impl<std::default_delete<Drawable> >(std::default_delete<Drawable>&&)
  0.00      0.00     0.00      920     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::__uniq_ptr_impl<std::default_delete<Drawable> >(Drawable*, std::default_delete<Drawable>&&)
  0.00      0.00     0.00      920     0.00     0.00  std::tuple<Drawable*, std::default_delete<Drawable> >::tuple<Drawable*&, std::default_delete<Drawable>, true>(Drawable*&, std::default_delete<Drawable>&&)
  0.00      0.00     0.00      920     0.00     0.00  void std::_Destroy<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >*)
  0.00      0.00     0.00      904     0.00     0.00  Drawable::~Drawable()
  0.00      0.00     0.00      904     0.00     0.00  void __gnu_cxx::new_allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > >::construct<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00      904     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::operator->() const
  0.00      0.00     0.00      904     0.00     0.00  std::default_delete<Drawable>::operator()(Drawable*) const
